AK,738565,386319,352246,6.81,61.54,3.03,13.76,6.06,1.17,10.18
AL,4850771,2350806,2499965,4.09,65.93,26.39,0.47,1.27,0.02,17.97
AR,2977944,1461651,1516293,7.17,73.01,15.36,0.57,1.41,0.23,18.18
AZ,6809946,3385055,3424891,30.89,55.59,4.07,3.89,3.06,0.17,16.95
CA,38982847,19366579,19616268,38.75,37.91,5.55,0.36,13.93,0.35,15.12
CO,5436519,2731315,2705204,21.29,68.65,3.87,0.53,2.97,0.15,11.54
CT,3594478,1754046,1840432,15.35,68.02,9.76,0.12,4.29,0,10.08
DC,672391,319046,353345,10.7,36,46.9,0.2,3.7,0,17.4
DE,943732,456876,486856,8.99,63.02,21.36,0.32,3.82,0,12.12
FL,20278447,9914361,10364086,24.75,54.86,15.42,0.21,2.63,0.04,15.49
GA,10201635,4968887,5232748,9.32,53.62,30.88,0.18,3.79,0.03,17
HI,1421658,713981,707677,10.22,22.21,1.71,0.12,37.02,9.21,10.35
IA,3118102,1548035,1570067,5.72,86.5,3.34,0.28,2.27,0.09,12.02
ID,1657375,830627,826748,12.2,82.53,0.63,1.08,1.33,0.12,14.52
IL,12854526,6312600,6541926,16.84,61.9,14.05,0.12,5.18,0.01,13.54
IN,6614418,3258279,3356139,6.68,79.84,9.13,0.19,2.07,0.02,14.62
KS,2903820,1445980,1457840,11.53,76.46,5.64,0.65,2.75,0.04,12.85
KY,4424376,2179025,2245351,3.44,85.08,7.87,0.18,1.35,0.03,18.31
LA,4663461,2281239,2382222,4.97,59.02,31.96,0.53,1.72,0.01,19.65
MA,6789319,3293426,3495893,11.21,72.95,6.68,0.13,6.25,0,11.13
MD,5996079,2906277,3089802,9.56,51.85,29.26,0.18,6.19,0.02,9.74
ME,1330158,651040,679118,1.55,93.58,1.21,0.59,1.1,0.01,12.91
MI,9925568,4880579,5044989,4.88,75.49,13.69,0.45,2.89,0.01,15.59
MN,5490726,2731831,2758895,5.19,80.77,5.85,0.94,4.64,0.01,10.49
MO,6075300,2981332,3093968,4.03,79.82,11.49,0.38,1.85,0.09,14.65
MS,2986220,1448717,1537503,2.95,57.01,37.46,0.42,0.96,0.01,21.55
MT,1029862,517860,512002,3.55,86.61,0.41,6.23,0.7,0.05,14.35
NC,10052564,4895368,5157196,9.1,63.64,21.16,1.09,2.66,0.03,16.17
ND,745475,382121,363354,3.33,85.69,2.29,5.2,1.35,0.03,11.04
NE,1893921,943547,950374,10.45,79.83,4.6,0.67,2.21,0.06,12
NH,1331848,659131,672717,3.42,90.95,1.23,0.13,2.5,0.01,8.15
NJ,8960161,4372321,4587840,19.69,56.07,12.68,0.09,9.35,0.01,10.69
NM,2084828,1032086,1052742,48.17,38.18,1.78,8.71,1.33,0.06,20.61
NV,2887725,1450091,1437634,28.21,50.45,8.4,0.85,7.92,0.63,14.23
NY,19798228,9604111,10194117,18.82,55.95,14.37,0.21,8.27,0.01,15.09
OH,11609756,5686081,5923675,3.57,79.63,12.15,0.14,2.02,0.02,14.94
OK,3896251,1930615,1965636,10.13,66.44,7.15,7.11,2.04,0.15,16.23
OR,4025127,1993822,2031305,12.65,76.5,1.8,0.86,4.09,0.36,14.91
PA,12790505,6260160,6530345,6.84,77.25,10.61,0.12,3.23,0,13.13
RI,1056138,512581,543557,14.57,73.21,5.46,0.37,3.33,0.08,13.41
SC,4893444,2376759,2516685,5.45,63.77,27,0.27,1.45,0.06,16.66
SD,855444,430587,424857,3.51,82.68,1.66,8.31,1.36,0.03,13.92
TN,6597381,3217073,3380308,5.16,74.26,16.67,0.22,1.66,0.04,16.69
TX,27419612,13616977,13802635,38.93,42.86,11.67,0.25,4.47,0.08,16.04
UT,2993941,1506614,1487327,13.67,79.02,1.07,0.93,2.25,0.88,11.01
VA,8365952,4113988,4251964,8.96,62.62,18.83,0.21,6.18,0.04,11.31
VT,624636,308026,316610,1.8,93.24,1.19,0.29,1.53,0.02,11.37
WA,7169967,3580888,3589079,12.31,69.76,3.5,1.11,8,0.63,12.25
WI,5763217,2864115,2899102,6.61,81.82,6.24,0.81,2.63,0.01,12.35
WV,1836843,907621,929222,1.48,92.27,3.51,0.17,0.75,0.02,17.8
WY,583200,298301,284899,9.72,84.3,0.99,2.04,0.84,0.07,11.18