Alabama,AL,0.64,0.36,2047797,0.63,0.37,2290794
Alaska,AK,0.58,0.42,279841,0.55,0.45,343729
Arizona,AZ,0.52,0.48,2413568,0.5,0.5,3333829
Arkansas,AR,0.64,0.36,1065366,0.64,0.36,1184579
California,CA,0.34,0.66,13237598,0.35,0.65,17116679
Colorado,CO,0.47,0.53,2541354,0.43,0.57,3168959
Connecticut,CT,0.43,0.57,1570787,0.4,0.6,1795548
Delaware,DE,0.44,0.56,420730,0.4,0.6,496871
District Of Columbia,DC,0.04,0.96,295553,0.06,0.94,335909
Florida,FL,0.51,0.49,9122861,0.52,0.48,10965776
Georgia,GA,0.53,0.47,3967067,0.5,0.5,4936344
Hawaii,HI,0.33,0.67,395738,0.35,0.65,562982
Idaho,ID,0.68,0.32,598820,0.66,0.34,841140
Illinois,IL,0.41,0.59,5236744,0.41,0.59,5918806
Indiana,IN,0.6,0.4,2590412,0.58,0.42,2971935
Iowa,IA,0.55,0.45,1454652,0.54,0.46,1661070
Kansas,KS,0.61,0.39,1098023,0.58,0.42,1341729
Kentucky,KY,0.66,0.34,1831825,0.63,0.37,2098703
Louisiana,LA,0.6,0.4,1958792,0.6,0.4,2111810
Maine,ME,0.48,0.52,693328,0.46,0.54,790372
Maryland,MD,0.36,0.64,2621097,0.33,0.67,2961437
Massachusetts,MA,0.35,0.65,3086089,0.33,0.67,3549404
Michigan,MI,0.5,0.5,4548382,0.49,0.51,5453892
Minnesota,MN,0.49,0.51,2690667,0.46,0.54,3201142
Mississippi,MS,0.59,0.41,1185845,0.58,0.42,1296162
Missouri,MO,0.6,0.4,2665579,0.58,0.42,2971750
Montana,MT,0.61,0.39,456949,0.58,0.42,588388
Nebraska,NE,0.64,0.36,780455,0.6,0.4,931429
Nevada,NV,0.48,0.52,1051318,0.49,0.51,1372922
New Hampshire,NH,0.5,0.5,694316,0.46,0.54,790597
New Jersey,NJ,0.43,0.57,3750211,0.42,0.58,4491609
New Mexico,NM,0.45,0.55,704901,0.44,0.56,903508
New York,NY,0.38,0.62,7362151,0.38,0.62,8475783
North Carolina,NC,0.52,0.48,4551947,0.51,0.49,5443065
North Dakota,ND,0.7,0.3,310552,0.67,0.33,350497
Ohio,OH,0.54,0.46,5235169,0.54,0.46,5833999
Oklahoma,OK,0.69,0.31,1369511,0.67,0.33,1524170
Oregon,OR,0.44,0.56,1784509,0.42,0.58,2298831
Pennsylvania,PA,0.5,0.5,5897174,0.49,0.51,6835903
Rhode Island,RI,0.42,0.58,433068,0.39,0.61,507408
South Carolina,SC,0.57,0.43,2010762,0.56,0.44,2476644
South Dakota,SD,0.66,0.34,345179,0.63,0.37,411514
Tennessee,TN,0.64,0.36,2393620,0.62,0.38,2996186
Texas,TX,0.55,0.45,8562915,0.53,0.47,11149473
Utah,UT,0.62,0.38,825907,0.61,0.39,1425421
Vermont,VT,0.35,0.65,273942,0.32,0.68,355534
Virginia,VA,0.47,0.53,3750916,0.45,0.55,4375998
Washington,WA,0.41,0.59,2964465,0.4,0.6,3954263
West Virginia,WV,0.72,0.28,678165,0.7,0.3,781366
Wisconsin,WI,0.5,0.5,2786263,0.5,0.5,3240738
Wyoming,WY,0.76,0.24,230392,0.73,0.27,267050